Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
CHGP [s],7187,"Transportation & Logistics, Main Market",0.345,0.235,0.41,3322,1.24,,0.4,27.74,,3.11,0.86,102.74,3.8
SIMEPLT [s],5285,"Plantation, Main Market",4.87,3.82,5.63,13796,5.93,1,1.92,82.18,0.21,3.09,2.54,33527.88,1.11
CRESNDO [s],6718,"Property, Main Market",0.91,0.77,1.3,0,9.96,6,3.23,9.13,6.59,3.08,0.28,255.22,1.31
BINTAI [s],6998,"Industrial Products & Services, Main Market",0.095,0.04,0.14,1369,0.88,,0.29,10.77,,3.04,0.33,27.51,0.17
CWG [s],9423,"Consumer Products & Services, Main Market",0.265,0.24,0.51,697,2.01,1.5,0.67,13.2,5.66,3,0.4,33.47,0.47
GMUTUAL [s],9962,"Property, Main Market",0.23,0.17,0.35,340,2.8,0.5,0.95,8.21,2.17,2.95,0.24,86.39,1.745098039
BJFOOD [s],5196,"Consumer Products & Services, Main Market",1.12,1,1.67,5315,2.99,4,1.028,37.42,3.57,2.91,1.09,428,0.519607843
NAIM [s],5073,"Property, Main Market",0.785,0.335,1.41,91616,7.61,,2.62,10.31,,2.91,0.3,403.33,1.666666667
IOIPG [s],5249,"Property, Main Market",1,0.825,1.43,7225,9.94,3,3.44,10.06,3,2.89,0.29,5506.15,0.37254902
KNM,7164,"Energy, Main Market",0.205,0.085,0.475,771869,1.88,,0.65,10.93,,2.89,0.32,542.17,0.696078431
UMS [s],7137,"Industrial Products & Services, Main Market",1.7,1.43,2.057,0,11.55,,4.02,14.72,,2.87,0.42,69.17,0.470588235
SPSETIA [s],8664,"Property, Main Market",0.875,0.55,2.19,34081,8.56,1,2.99,10.22,1.14,2.86,0.29,3537.17,1.173076923
YTLPOWR,6742,"Utilities, Main Market",0.675,0.48,0.845,6548,4.4,5,1.54,15.36,7.41,2.85,0.44,5506.79,3.038461538
UOAREIT,5110,"Real Estate Investment Trusts, Main Market",1.21,1.05,1.36,104,4.69,9.11,1.671,25.79,7.53,2.81,0.72,511.68,0.480769231
AMFIRST,5120,"Real Estate Investment Trusts, Main Market",0.42,0.32,0.515,343,3.44,3.35,1.225,12.22,7.98,2.81,0.34,288.29,0.240384615
MMCCORP [s],2194,"Transportation & Logistics, Main Market",0.74,0.45,1.25,27495,8.52,4.5,3.08,8.68,6.08,2.77,0.24,2253.34,1.264150943
HIAPTEK [s],5072,"Industrial Products & Services, Main Market",0.16,0.09,0.25,94210,1.74,0.5,0.63,9.2,3.12,2.76,0.25,216.66,1.339622642
GLOMAC [s],5020,"Property, Main Market",0.28,0.24,0.395,1989,3.91,0.8,1.42,7.16,2.86,2.75,0.2,224.03,0.754716981
MGB [s],7595,"Construction, Main Market",0.47,0.33,0.74,864,2.53,,0.92,18.56,,2.75,0.51,235.78,0.632075472
