Name,Code,Category,Price,52 Weeks low,52 Weeks hi,Volume,EPS,DPS,NTA,PE,DY,ROE,PTBV,Mcap,Book value
JETSON [s],9083,"Industrial Products & Services, Main Market",0.18,0.05,0.195,800,-2.89,,0.378,-6.24,,-7.63,0.48,38.08,0.768656716
CNI [s],5104,"Consumer Products & Services, Main Market",0.05,0.03,0.095,10932,-0.77,0.3,0.1,-6.46,6,-7.74,0.5,36,0.82962963
EPMB [s],7773,"Industrial Products & Services, Main Market",0.325,0.21,0.37,0,-12.53,0,1.62,-2.59,0,-7.74,0.2,53.94,1.977941176
GESHEN [s],7197,"Industrial Products & Services, Main Market",0.44,0.28,0.65,0,-9.08,,1.17,-4.85,,-7.76,0.38,48.41,0.260869565
OWG,5260,"Consumer Products & Services, Main Market",0.325,0.155,0.74,13849,-6.84,,0.87,-4.75,,-7.87,0.37,92.66,11.26241135
JADI [s],7223,"Consumer Products & Services, Main Market",0.045,0.025,0.075,8710,-1.03,,0.13,-4.35,,-7.95,0.35,46.62,0.90070922
COMPUGT [s],5037,"Industrial Products & Services, Main Market",0.02,0.01,0.03,75,-0.32,,0.04,-6.25,,-8,0.5,51.49,1.021126761
FSBM,9377,"Technology, Main Market",0.13,0.03,0.14,0,-0.32,,0.04,-40.55,,-8.01,3.25,18.37,5.48951049
CYMAO [s],5082,"Industrial Products & Services, Main Market",0.18,0.18,0.34,250,-6.24,,0.73,-2.89,,-8.54,0.25,13.5,6.986111111
NICE [s],7139,"Consumer Products & Services, Main Market",0.06,0.03,0.075,118102,-0.43,,0.05,-14.01,,-8.57,1.2,42.15,0.854166667
SWSCAP [s],7186,"Consumer Products & Services, Main Market",0.415,0.25,0.775,208,-4.28,,0.498,-9.71,,-8.58,0.83,75.67,2.889655172
TOMYPAK [s],7285,"Industrial Products & Services, Main Market",0.445,0.3,0.555,5158,-3.68,0,0.42,-12.08,0,-8.77,1.06,187.06,0.04137931
SEB,5163,"Industrial Products & Services, Main Market",0.615,0.34,0.75,110,-2.28,0,0.26,-26.93,0,-8.78,2.37,49.2,6.150684932
GUNUNG [s],7676,"Transportation & Logistics, Main Market",0.545,0.255,0.655,4225,-3.42,,0.386,-15.92,,-8.87,1.41,131.8,0.07
TAFI [s],7211,"Consumer Products & Services, Main Market",0.295,0.175,0.39,29658,-4.76,0,0.53,-6.19,0,-8.99,0.56,23.6,0.04
BENALEC,5190,"Construction, Main Market",0.095,0.045,0.205,1910,-5.78,0,0.64,-1.64,0,-9.04,0.15,81.87,1.065789474
WMG [s],6378,"Property, Main Market",0.08,0.035,0.15,393,-3.86,,0.42,-2.07,,-9.2,0.19,34.09,0.470394737
FGV [s],5222,"Plantation, Main Market",1.02,0.715,1.59,73070,-10.45,2,1.11,-9.76,1.96,-9.41,0.92,3721.12,1.089171975
MILUX [s],7935,"Consumer Products & Services, Main Market",1.75,0.76,1.9,329,-6.62,0,0.7,-26.43,0,-9.46,2.5,102.84,0.300632911
GLOTEC [s],5220,"Industrial Products & Services, Main Market",0.38,0.18,0.515,12498,-8.34,,0.876,-4.56,,-9.52,0.43,102.25,1.25
LEWEKO [s],8745,"Industrial Products & Services, Main Market",0.2,0.06,0.26,35949,-1.91,,0.2,-10.47,,-9.55,1,73.38,0.347826087
BERTAM,9814,"Property, Main Market",0.15,0.1,0.285,50,-7.9,0,0.82,-1.9,0,-9.63,0.18,31.01,0.531055901
RSAWIT [s],5113,"Plantation, Main Market",0.28,0.115,0.465,89400,-3,0,0.3,-9.35,0,-9.98,0.93,397.18,4.572289157
TRIVE [s],118,"Technology, Main Market",0.005,0.005,0.02,121739,-0.2,,0.02,-2.47,,-10.12,0.25,15.25,0.389880952
PMHLDG [s],1287,"Consumer Products & Services, Main Market",0.18,0.045,0.21,183128,-0.34,,0.034,-52.28,,-10.13,5.29,167.2,0.310650888
CUSCAPI,51,"Technology, Main Market",0.115,0.045,0.235,296774,-1.04,,0.1,-11.07,,-10.39,1.15,98.82,7.905325444
MCEHLDG [s],7004,"Industrial Products & Services, Main Market",0.52,0.285,0.69,1024,-18.95,0,1.798,-2.74,0,-10.53,0.29,23.09,0.421052632
ARK [s],7007,"Property, Main Market",0.19,0.115,0.33,14,-2.85,,0.27,-6.68,,-10.54,0.7,12.02,5.431034483
GOB [s],1147,"Property, Main Market",0.21,0.135,0.29,2680,-6.02,0,0.56,-3.49,0,-10.74,0.37,95.48,0.08045977
VERTICE [s],7240,"Consumer Products & Services, Main Market",0.285,0.1,0.97,1880,-6.66,,0.62,-4.28,,-10.74,0.46,53.8,0.04
TDM,2054,"Plantation, Main Market",0.225,0.11,0.445,64371,-4.73,0,0.44,-4.76,0,-10.74,0.51,378.59,0.25
WOODLAN [s],7025,"Industrial Products & Services, Main Market",0.44,0.4,0.74,50,-10.72,1.5,0.99,-4.11,3.41,-10.82,0.44,17.6,0.289325843
MULPHA,3905,"Consumer Products & Services, Main Market",1.48,1.1,2.28,476,-91.28,,8.4,-1.62,,-10.87,0.18,473.04,1.189944134
KYM [s],8362,"Industrial Products & Services, Main Market",0.25,0.16,0.43,101,-6.13,,0.56,-4.08,,-10.94,0.45,37.47,0.069832402
HARNLEN [s],7501,"Plantation, Main Market",0.42,0.29,0.7,150,-16.2,,1.46,-2.59,,-11.1,0.29,77.9,2.071428571
HOKHENG [s],5165,"Industrial Products & Services, Main Market",0.43,0.34,0.75,107,-6.94,0,0.622,-6.19,0,-11.15,0.69,37.84,0.548913043
SNTORIA [s],5213,"Property, Main Market",0.115,0.09,0.265,1000,-9.71,,0.87,-1.18,,-11.16,0.13,65.24,2.402173913
JTIASA [s],4383,"Plantation, Main Market",0.49,0.27,1.12,12931,-13.2,0,1.17,-3.71,0,-11.29,0.42,477.12,0.550802139
SEALINK [s],5145,"Transportation & Logistics, Main Market",0.23,0.125,0.74,60059,-7.49,0,0.66,-3.07,0,-11.35,0.35,115,0.770053476
MINETEC [s],7219,"Industrial Products & Services, Main Market",0.29,0.05,0.35,663345,-0.92,,0.08,-31.52,,-11.5,3.62,321.23,0.788359788
REX [s],9946,"Consumer Products & Services, Main Market",0.28,0.22,0.42,0,-4.6,,0.4,-6.08,,-11.51,0.7,69.06,2.026455026
SMISCOR [s],7132,"Industrial Products & Services, Main Market",0.38,0.25,0.48,1,-14.82,0,1.28,-2.56,0,-11.58,0.3,17.02,0.317708333
GETS [s],5079,"Consumer Products & Services, Main Market",0.095,0.035,0.275,2766,-3.62,,0.31,-2.62,,-11.69,0.31,11.97,0.450520833
HWGB [s],9601,"Industrial Products & Services, Main Market",0.495,0.06,0.58,31763,-0.94,,0.08,-52.71,,-11.74,6.19,253.59,0.028645833
MTRONIC [s],43,"Industrial Products & Services, Main Market",0.04,0.015,0.08,81946,-1.07,,0.09,-3.73,,-11.9,0.44,49.83,1.953367876
WTHORSE [s],5009,"Industrial Products & Services, Main Market",0.705,0.645,1.19,0,-32.54,0,2.73,-2.17,0,-11.92,0.26,169.2,0.5
MYSCM [s],41,"Technology, Main Market",0.14,0.04,0.25,7158,-2.33,,0.192,-6,,-12.12,0.73,44.6,4.720812183
YONGTAI [s],7066,"Property, Main Market",0.07,0.035,0.34,11850,-7.73,,0.61,-0.91,,-12.67,0.11,67.02,0.85786802
MTDACPI [s],5924,"Construction, Main Market",0.155,0.065,0.25,571,-4.6,0,0.36,-3.37,0,-12.77,0.43,35.9,0.159898477
ENCORP,6076,"Property, Main Market",0.195,0.18,0.4,1800,-15.14,0,1.18,-1.29,0,-12.83,0.17,59.76,0.43
WTK [s],4243,"Industrial Products & Services, Main Market",0.405,0.2,0.64,34331,-26.4,1.5,2.03,-1.53,3.7,-13,0.2,194.94,2.545
OCB [s],5533,"Consumer Products & Services, Main Market",0.34,0.3,0.56,0,-24.63,0,1.82,-1.38,0,-13.53,0.19,34.97,1.771144279
VERSATL [s],4995,"Industrial Products & Services, Main Market",0.375,0.18,0.46,2115,-4.16,,0.3,-9.01,,-13.88,1.25,95.49,12.30693069
HUMEIND,5000,"Industrial Products & Services, Main Market",1.09,0.655,1.86,7727,-11.54,,0.83,-9.44,,-13.9,1.31,542.04,13.10679612
PARKSON [s],5657,"Consumer Products & Services, Main Market",0.09,0.065,0.26,11120,-24.1,,1.69,-0.37,,-14.26,0.05,98.45,0.22985782
TPC [s],7176,"Consumer Products & Services, Main Market",0.25,0.19,0.4,150,-5.22,,0.35,-4.79,,-14.91,0.71,58.45,0.490566038
GPACKET,82,"Telecommunications & Media, Main Market",0.545,0.35,1.65,383287,-4.33,,0.29,-12.59,,-14.93,1.88,549.9,9.583333333
AVI [s],8885,"Consumer Products & Services, Main Market",0.07,0.02,0.18,22145,-3.56,0,0.234,-1.97,0,-15.21,0.3,66.11,0.229910714
TOCEAN [s],7218,"Transportation & Logistics, Main Market",0.46,0.42,0.59,0,-13.43,,0.88,-3.42,,-15.26,0.52,18.86,0.942731278
ITRONIC [s],9393,"Technology, Main Market",0.085,0.03,0.13,0,-1.69,,0.11,-5.04,,-15.35,0.77,11.34,0.089912281
PNEPCB [s],6637,"Industrial Products & Services, Main Market",1.03,0.36,1.52,8467,-6.75,,0.44,-15.25,,-15.35,2.34,138.93,6.695652174
IQGROUP [s],5107,"Consumer Products & Services, Main Market",0.425,0.21,1.07,1763,-21.52,0,1.39,-1.98,0,-15.48,0.31,37.41,0.900414938
CEPCO [s],8435,"Industrial Products & Services, Main Market",0.55,0.4,0.885,0,-18.67,,1.2,-2.95,,-15.56,0.46,41.04,4.917355372
ALAM [s],5115,"Energy, Main Market",0.08,0.03,0.2,45032,-5.77,,0.37,-1.39,,-15.6,0.22,99.59,2.955645161
DYNACIA,5178,"Industrial Products & Services, Main Market",0.055,0.025,0.095,11301,-1.42,,0.089,-3.88,,-15.84,0.62,32.46,0.489959839
TSRCAP [s],5042,"Construction, Main Market",0.225,0.18,0.49,26,-14.51,,0.9,-1.55,,-16.12,0.25,39.25,0.080078125
PDZ [s],6254,"Transportation & Logistics, Main Market",0.045,0.01,0.055,134796,-1.13,,0.064,-3.97,,-17.69,0.7,39.9,1.926356589
COMCORP,7195,"Industrial Products & Services, Main Market",0.14,0.05,0.31,5490,-2.89,0,0.159,-4.84,0,-18.21,0.88,19.6,0.28957529
CCB,2925,"Consumer Products & Services, Main Market",1.42,1.15,2.14,75,-44.21,0,2.38,-3.21,0,-18.58,0.6,143.06,1.478927203
MINDA [s],5166,"Consumer Products & Services, Main Market",0.04,0.015,0.12,4674,-2.98,,0.16,-1.34,,-18.62,0.25,49.6,1.477443609
POS [s],4634,"Transportation & Logistics, Main Market",0.95,0.52,2,30932,-33.83,4,1.8,-2.81,4.21,-18.79,0.53,743.64,0.037313433
KOMARK [s],7017,"Industrial Products & Services, Main Market",0.42,0.15,0.44,69623,-5.08,,0.27,-8.27,,-18.82,1.56,86.35,0.710037175
SCOMIES [s],7045,"Energy, Main Market",0.12,0.035,0.65,18900,-14.74,,0.77,-0.81,,-19.14,0.16,56.2,0.603571429
AHB [s],7315,"Consumer Products & Services, Main Market",0.075,0.04,0.165,1400,-3.18,,0.164,-2.36,,-19.36,0.46,13.21,3.268292683
SYSCORP [s],5173,"Transportation & Logistics, Main Market",0.185,0.115,0.305,2803,-15.75,0,0.81,-1.17,0,-19.45,0.23,222,0.660899654
SYF [s],7082,"Consumer Products & Services, Main Market",0.135,0.12,0.225,12448,-7.76,1.25,0.39,-1.74,9.26,-19.89,0.35,76.85,0.411564626
MSM [s],5202,"Consumer Products & Services, Main Market",0.59,0.23,1.78,20717,-46.58,0,2.3,-1.27,0,-20.25,0.26,414.76,0.170068027
EURO [s],7208,"Consumer Products & Services, Main Market",1.05,0.08,1.52,7545,-4.73,,0.232,-22.22,,-20.35,4.52,280.67,0.040064103
REACH [s],5256,"Energy, Main Market",0.075,0.025,0.25,13956,-12.91,,0.63,-0.58,,-20.5,0.12,82.23,0.237730061
NWP [s],5025,"Industrial Products & Services, Main Market",0.115,0.065,0.23,150,-1.57,,0.077,-7.31,,-20.54,1.5,49.62,0.813253012
GPHAROS [s],5649,"Industrial Products & Services, Main Market",0.15,0.1,0.305,0,-8.94,1.27,0.43,-1.68,8.47,-20.79,0.35,20.52,0.59939759
LIONIND [s],4235,"Industrial Products & Services, Main Market",0.285,0.12,0.565,31540,-46.68,0,2.06,-0.61,0,-22.66,0.14,204.6,0.03003003
HANDAL [s],7253,"Energy, Main Market",0.21,0.135,0.485,768,-10.32,0,0.43,-2.04,0,-23.99,0.49,45.95,1.488095238
YKGI,7020,"Industrial Products & Services, Main Market",0.09,0.06,0.17,1300,-2.47,0,0.1,-3.65,0,-24.67,0.9,31.56,0.479768786
PRESBHD [s],5204,"Technology, Main Market",0.48,0.1,0.59,500203,-5.19,0,0.202,-9.26,0,-25.68,2.38,255.47,6.022922636
IREKA [s],8834,"Construction, Main Market",0.36,0.27,0.59,0,-14.96,0,0.57,-2.41,0,-26.25,0.63,67.21,1.349030471
BTM [s],7188,"Industrial Products & Services, Main Market",0.15,0.05,0.23,2257,-4.21,,0.16,-3.57,,-26.29,0.94,21.2,0.173130194
SEACERA [s],7073,"Industrial Products & Services, Main Market",0.26,0.12,0.565,13261,-30.08,,1.12,-0.86,,-26.86,0.23,125.25,0.520547945
KSTAR,5172,"Consumer Products & Services, Main Market",0.1,0.035,0.14,25923,-1.58,,0.058,-6.34,,-27.05,1.72,44.56,0.232240437
NGGB [s],7241,"Industrial Products & Services, Main Market",0.275,0.14,0.485,2300,-6.23,,0.23,-4.41,,-27.09,1.2,146.21,0.840540541
PRG [s],7168,"Consumer Products & Services, Main Market",0.145,0.055,1.3,7492,-11.05,0,0.396,-1.31,0,-27.91,0.37,60.59,0.590296496
MEDIA,4502,"Telecommunications & Media, Main Market",0.15,0.11,0.52,39165,-15.05,0,0.513,-1,0,-29.34,0.29,166.38,0.359042553
KEYASIC [s],143,"Technology, Main Market",0.09,0.02,0.135,86417,-0.78,,0.026,-11.54,,-29.55,3.41,95.62,0.67012987
MUDAJYA,5085,"Construction, Main Market",0.28,0.145,0.555,10416,-8.08,0,0.24,-3.47,0,-33.66,1.17,169.52,0.510204082
BSTEAD [s],2771,"Industrial Products & Services, Main Market",0.63,0.345,1.26,16809,-65.59,0,1.77,-0.96,0,-37.06,0.36,1277,0.439698492
THPLANT [s],5112,"Plantation, Main Market",0.3,0.185,0.685,6049,-26.02,0,0.63,-1.15,0,-41.29,0.48,265.16,0.920096852
PHARMA [s],7081,"Health Care, Main Market",2.25,0.91,2.86,4325,-56.06,8.5,1.34,-4.01,3.78,-41.83,1.68,587.77,0.880095923
PWORTH [s],7123,"Industrial Products & Services, Main Market",0.015,0.005,0.075,124631,-3,,0.07,-0.5,,-42.84,0.21,61.42,1.551312649
G3,7184,"Consumer Products & Services, Main Market",2.36,1.42,3.72,677,-3.6,,0.08,-65.48,,-45.05,29.5,1104.84,1.370283019
SAPNRG [s],5218,"Energy, Main Market",0.095,0.06,0.32,174045,-28.54,0.5,0.57,-0.33,5.26,-50.07,0.17,1518.01,7.24137931
CME [s],7018,"Industrial Products & Services, Main Market",0.035,0.02,0.04,8588,-3.33,,0.065,-1.05,,-50.84,0.54,20.45,0.702702703
EDARAN [s],5036,"Technology, Main Market",0.32,0.115,0.605,3278,-19.71,0,0.349,-1.62,0,-56.47,0.92,19.2,0.360178971
SINOTOP,8532,"Consumer Products & Services, Main Market",0.49,0.08,0.765,150501,-16.2,0,0.28,-3.03,0,-57.84,1.75,212.35,0.210643016
DATAPRP [s],8338,"Technology, Main Market",0.14,0.06,0.28,37117,-1.81,,0.03,-7.72,,-60.43,4.67,64.89,0.105032823
WZSATU [s],7245,"Industrial Products & Services, Main Market",0.225,0.05,0.305,56216,-16.34,,0.25,-1.38,,-65.34,0.9,115.13,0.189914163
BHIC [s],8133,"Transportation & Logistics, Main Market",0.735,0.56,1.36,0,-37.01,0,0.55,-1.99,0,-67.29,1.34,182.62,1.111111111
JOHAN,3441,"Financial Services, Main Market",0.06,0.03,0.1,500,-5.99,,0.084,-1,,-71.27,0.71,37.38,0.751540041
NATWIDE [s],9806,"Transportation & Logistics, Main Market",0.075,0.04,0.26,0,-31.25,,0.43,-0.24,,-72.68,0.17,9.24,0.197959184
DESTINI [s],7212,"Industrial Products & Services, Main Market",0.135,0.055,0.285,6793,-19.14,,0.24,-0.71,,-79.81,0.56,166.08,0.164
M&G,5078,"Transportation & Logistics, Main Market",0.075,0.04,0.11,210,-7.48,0,0.085,-1,0,-87.57,0.88,54.29,0.359925788
SAUDEE [s],5157,"Consumer Products & Services, Main Market",0.165,0.08,0.4,6082,-19.39,,0.22,-0.85,,-88.13,0.75,24.2,0.940540541
RSENA,5270,"SPAC, Main Market",0.505,0.505,0.505,0,-1.58,,0.017,-32.02,,-92.76,29.71,505,0.90052356
MPCORP,6548,"Property, Main Market",0.1,0.055,0.165,0,-21.15,,0.22,-0.47,,-96.15,0.45,28.77,0.360065466
KHEESAN [s],6203,"Consumer Products & Services, Main Market",0.275,0.165,0.56,6335,-66.87,1,0.66,-0.41,3.64,-101.32,0.42,31.46,1.269968051
SSTEEL,5665,"Industrial Products & Services, Main Market",0.475,0.33,1.22,3245,-75.96,0,0.72,-0.63,0,-105.5,0.66,283.25,1.359795134
MUIIND,3891,"Consumer Products & Services, Main Market",0.145,0.05,0.245,557641,-8.43,,0.078,-1.72,,-108.4,1.86,425.22,1.024327785
CENSOF [s],5195,"Technology, Main Market",0.105,0.035,0.15,52789,-14.1,,0.121,-0.74,,-116.43,0.87,52.69,0.075530587
IPMUDA [s],5673,"Industrial Products & Services, Main Market",0.23,0.175,0.47,0,-84.63,0,0.62,-0.27,0,-136.51,0.37,16.67,0.730205279
HUAAN [s],2739,"Energy, Main Market",0.085,0.035,0.195,27481,-19.36,0,0.14,-0.44,0,-138.31,0.61,97.1,0.089297439
GOODWAY [s],7192,"Industrial Products & Services, Main Market",0.17,0.115,0.24,6222,-20.16,0,0.11,-0.84,0,-183.31,1.55,26.87,1.299880526
KTB [s],4847,"Consumer Products & Services, Main Market",0.04,0.025,0.12,611,-8.5,,0.04,-0.47,,-212.49,1,16.11,0.089983931
AAX [s],5238,"Consumer Products & Services, Main Market",0.105,0.04,0.24,70685,-11.8,,0.05,-0.89,,-236,2.1,435.56,2.260204082
DOLMITE,5835,"Industrial Products & Services, Main Market",0.11,0.025,0.26,4225,-10.57,,0.04,-1.04,,-264.18,2.75,34.48,0.016997644
IKHMAS [s],5268,"Construction, Main Market",0.075,0.01,0.29,325345,-24.54,0,0.08,-0.31,0,-306.69,0.94,44.13,2.840248963
BRAHIMS [s],9474,"Consumer Products & Services, Main Market",0.11,0.07,0.39,1451,-11.46,0,0.03,-0.96,0,-381.84,3.67,25.99,0.510014454
PRKCORP,8346,"Transportation & Logistics, Main Market",0.135,0.09,0.47,40,-76.61,0,0.03,-0.18,0,"-2,553.57",4.5,13.5,0.080007159
